,ReviewBody,ReviewStar,sentiment
7029,"Not worth it. This product has only replacement option; no refund. So I am stuck with it. Probably seller has kept no refund as he knows the product is not good.About the product - The video playback volume is very low. Cant hear when travelling. Music quality is also very normal. Nothing great to talk about. Overall not worth it as cant watch videos while travelling. I also exchanged it once; still the same. Avoid.
",1,0
7028,"Ears are paining
",1,0
7015,"The person called complains for hazy & unclear voice .  Such a great brand JBL but the quality hopeless.
",1,0
7014,"Very low sound & battery life is maximum 3hrs where as on box it is mentioned 6hrs
",1,0
7006,"It's work good for newly but now the mike is doesn't work
",1,0
7002,"Ear buds quickly break
",1,0
2069,"Dear amazon team;Product was good but till 1 month only after 1 month earphone stop working by 1 side why are you selling this type of product If it's defective item.
",1,0
6996,"It's stop working after one month. All is good nut working is bad.
",1,0
6991,"Connectivity breaks
",1,0
6985,"Total waste investment.. having battery backup of 4-5 hours only.. not a solid bass as per JBL brand name. Not at all good for money in 2k.
",1,0
6979,"I brought it from amazon and within 12 days its is damaged.....very bad product dont buy it...
",1,0
6976,"Issue with connect phone
",1,0
6974,"Its this what amazon assure or promises.We buy genuine original JBL earphones and we receive faulty earphones.Sounds so concerning of how we can trust that the product we receive is original n genuine
",1,0
6969,"First time I saw this type of quality from JBL earphones Rubber bud is not fixed in earphone properly
",1,0
6968,"Don't buy this earphones. Very bad it's stopped working in 3 months. And no sound cancellation.Volume is also low.
",1,0
2058,"Sound quality is not good for this price and the ear buds doesn't fit in ear; I want to return this product..I ll go for a wired headphone instead..
",1,0
7036,"Worst product; with in few days one side head phone sound won't come
",1,0
7041,"Witching a month product stopped working. Bad experience.
",1,0
7042,"Not recommended for any user;product  quality is very poor; within 3 months the earbud started pealing off and the Bluetooth connectivity often gets disconnected
",1,0
2030,"don't buy this product because it has connection problem(if you are user of mi mobile) and also when you pair continue 2-3 time and next it will goes automatically power off.
",1,0
7098,"Build quality is very bad
",1,0
7093,"These earphone is not suitable in ear so every minute they are not properly fit. JBL is great brand but this is bad earphone I have seen. JBL is too costly. When is return this earphone amazon is not option to me to return only replacement. That s is my mad experience with amazon.
",1,0
7092,"Worst
",1,0
2035,"EXTREMELY WORST PACKAGE; SEEM ITS OPENED BY SOMEONE.VERY UNSATISFIED WITH PACKAGEPRODUCT IS GOOD; BUT DON'T KNOW ITS USED OR NOT
",1,0
7088,"Had high expectations from JBL but this product is really cheap in quality. The sound is so bad that you can't hear anything while commuting in train. Also Bluetooth is very glitchy so keeps hanging the phone. Not worth this price at all. Disappointed.
",1,0
7077,"Don't buy this! Not worth a single penny! Hardly six months and earphones are in a bad condition! The ear tips have come off; the wire has started tearing and many more! Above all the worst earphones for calling!
",1,0
7069,"Not at all value for money
",1,0
7109,"It seems be it's not original products... Product is totally vary from the pics and images; as have seen lots of reviews and images that people got original one only.... Its might fake product sold out to me. Even the product wasn't fit in to its inner packaging.
",1,0
2041,"HORRIBLE PRODUCT!! the right speaker stopped working  5 months from purchase. battery drains out in 3 hrs. SAVE YOURSELF FROM THIS SCAM AND DONT GO FOR THIS!!
",1,0
7061,"Poor quality overall
",1,0
7059,"The sound is not good and even the buttons are very hard
",1,0
7058,"No noise cancellation. Uncomfortable to wear.Also the rubber coverings on earpieces are peeled off within one month of usage.
",1,0
2048,"Worst ever headphone to buy when I play music the right side of it feels like it's going to make me deaf from one side no bass no nothing
",1,0
7050,"Thougt it might gud; but after using it; thee sound quality; build quality everything is just unsatisfactory
",1,0
7048,"Don't buy this product; wist of money there product. Jbl company is bad product no service center
",1,0
7044,"It was not working after using one hour.Battery remained 10% and after that same was not working I plucked it on charger.And m unable to open the same.I wonderU have charged 2 thousand from meAnd you gave me such 10 rs quality product
",1,0
7043,"Not a good one
",1,0
7062,"Battery life is too poor.
",1,0
6966,"Such a wrost thing very much paining for more usage
",1,0
1981,"One star beacuse one ear stop working after 1 month.
",1,0
7299,"I have been a audiophile from over a decade and purchased this as a replacement to a Sennheiser earbud pair that i had purchased in Amsterdam a couple of years ago. I became a fan of what i had earlier and thought Sennheiser would have improved the model as this one was priced higher; but to my great disappointment... the grip is bad; cable is really cheap quality; noise isolation - almost nil and finally audio quality; less than average... i have bought a JBL for my daughter at half this price... would not recommend.
",1,0
7716,"I want to return it; to buy the other earphones as it is not fulfill my expectation even in these expansive price but there is no option to return it; there is just the option of ""replacement"". Kindly arranged the ""return"" option; so i can buy other earphones.
",1,0
7715,"This product have an issue after using it couple of months. Hence; I visited Sennheiser service center where I was informed that this product was fake.
",1,0
7714,"Earphones have started to automatically control my phone's volume; increasing or decreasing the volume on their own. The return window has closed so I cannot even return these expensive earphones. Good sound quality made obsolete because of this error! This error disappears when I remove the earphones.
",1,0
7668,"I bought this device Sept 2018; after using 6 months both the headphone speakers stopped working; now not able to hear anything clearly.Request you to help me how to reach Sennheiser customer care for replacement / repair; this device is still under warranty. So please help.
",1,0
1901,"Earbuds come out from ears during work-out and automatically switches off in between.
",1,0
7651,"Sound quality is as expected. But every time the earphone is plugged in; my phone starts acting crazy. The Google Assistant is activated; volume increases automatically; it's really annoying!! After doing some research; I found that the issue is with the cord pin. Disappointed with the product
",1,0
1904,"Decent sound quality with Deep Bass and 3D surround. but it's creating ear pain if you are using more than a hour; battery indicator not showing correctly
",1,0
1905,"Im changing my review  n drop the star from 5 to 1 because of using only 2 months one side of headPhone is not working ;there is a loose in the joining section of the headphones
",1,0
7649,"Within 2 week the right earphone stopped working. Absolutely unhappy. Now I have been asked to reach senheisers toll free to claim warranty. Once the product delivered and such issues happen after turn time Amazon will deal like this with you and you keep wandering with these other vendors.
",1,0
7630,"Worst ever earphones can’t hear songs with high sound and can’t talk on phone using them ears will be damaged worst bass quality recommend not to buy
",1,0
7603,"Left ear piece stopped working. Got it replaced and still the same. Complete waste of money. Please look for something else.
",1,0
7596,"Worst headphone ever; used it for 4 months and it broke; voice quality loud but not clear. No customer support from the manufacturer (wrong no:s & email id provided; u can never reach them) or Amazon (cannot do anything; hopeless). DO NOT BUY THIS PRODUCT !!!
",1,0
7584,"I guess i received a second hand discared product. Very disappointed with my order.. pouch was missing and the small extension cable L shapped doesn't work  and the sound is too sharp for ears to bear i have been using sennheiser earphones and headphones from a longtime but never disappointed like this before...
",1,0
7563,"Don't like the bass in this; within one day it stopped working; sound is blaring; not even as to use for calls; sound quality is pathetic in laptop and in phone; there's no bass quality; only blaring torn speaker noise comes; the worst earphones I have ever used in my entire life!!! DONT BUY
",1,0
1914,"Dont buy this product; Very bad quality; damage with in 10days; battery back up only 3 hour; I have not get return of this customer service are cheating
",1,0
1915,"Product is not compatible with android ; listener is not able to hear your voice ; i have asked for replacement but still its not working ; i want my money back.
",1,0
1916,"Sound quality is not good; also battery is worst. When the battery is at 40% it started giving up battery low. Mic is the wirst part. Not at all useful for calls
",1,0
1893,"Not satisfied with the product.  As there is a lot of distubance while on call. However its good to listen  music or watch videos
",1,0
1892,"Everything was good until 1 week and then it stopped working. No use .... Loss of money. DO NOT BUY.
",1,0
1891,"It's haven't even been months and the right earphones is not working and its Mike listen to all the noise  coming from 300 metre away but not my voice who is in front of it
",1,0
7717,"Mike is not functional in less than 5 months of use. The customer care number provided does not even exist. 2 year warranty it says. Need immediate action to repair/ replace. Will someone please provide correct customer care number
",1,0
1867,"I have claimed several exchange in warranty. But none of the pieces works.
",1,0
7897,"The product stopped working within 5 months of usage. The sound quality wasn’t good; bad quality of material and low durability
",1,0
7896,"i bough this Ear phones and tested the sound quality; found that one side of the ear phones sound is not proper. I replaced the item with the new one with same model; after couple of months i am facing the same issue with New headphones too...
",1,0
7875,"Sound quality is good; but seems to be poor durability & material. Not even a month completed; left speaker is not working and to top of the worst case is while I'm plug out from my mobile phone the pin was disconnected and struck inside the phone itself.
",1,0
7874,"Very poor build quality. Stopped working in a month and service center is asking for the box of a product to claim warranty. Waste of time and money
",1,0
7873,"We can not use a minmium of 1 hour music also.Battery is decreasing (dropping)from 60 percent to 20 percent at a time and after that it is getting a voice like ; plz charge the headset. Battery is draining . Full Waste of money. Dont buy it.
",1,0
1874,"Very poor quantity. Not even in three months of purchase one side is not working. Very poor response from company for complaint even though under warranty.
",1,0
7835,"Sound quality is good; but material durability is zero; I mean 0. Even gently keeping in pocket made it tangled and wire came out. The wire is not at all durable. At this price expects a durable product along with sound.
",1,0
1917,"don't buy this product because of i bought  four month before only but one side hearing is not working properly so please don't buy this one; waste of money 1500
",1,0
1878,"Quality isn't good and sound quality is bad
",1,0
7833,"Waste product...really disappointed with the product and service. Not a good clarity and Quality. If you buy for MOTOG hendset you r facing jack problem and u will damage your handset jack slot also.:(
",1,0
1881,"1st month it was running fantastic. But now battery is getting drain automatically. Nd it's get switch off automatically again and again while using time.
",1,0
7825,"I got this product on 1st November. Authentication failed on official sennheiser website. I am afraid this might be a fake product
",1,0
1884,"Very waste product no noise cancellationVery poor battery backup and. It is not working now not even I used 1 month worst product don't buy it no value for your money worthless
",1,0
7765,"After have used Sennheiser CX 180 for several years I decided to upgrade to Sennheiser CX 275 S. Big mistake. There's barely audible sound from both sides of the headphone. I have tried it with multiple devices but the problem persists. Regular troubleshooting methods have failed too. Avoid!
",1,0
1886,"I only listen song on weekends other wise I have busy schedules.Only worked for 20 days.Really I changed it only 5 times.DON'T BUY WASTE OF MONEY
",1,0
7730,"Utter flop... Don't go for it... I am using jbl earphones and compared with that... Jbl was good but Sennheiser not.... So better go for Jbl
",1,0
7722,"It was working fine but suddenly stopped working. One side of ear bud stop working. It seems like there is some issue with Jack wires.  I called customer care but no one bother to pick call. I need replacement how can I do that...
",1,0
7834,"Within 10 days of getting this; there was a problem in one earpiece. Now only one side works and the other doesn't. Base quality is also below average. Makes no sense to buy.
",1,0
7296,"after a month I am writing this review. the product looks like chines. no strength looks like something went wrong inside the headphone not working. whatever I totally not recommend to buy this product.  same or less price you would get other company blutooth headsets.advise for a company : please improve the quality. don't cheat the people.
",1,0
7554,"The worst headphone I had ever used the material quality is super poor it lasted only 2 months. I would have given 0 star rating to this product but 1 star is the minimum I could give.Don't ever buy this headphone the wiring is so poor in quality that it will rip apart from the 3.5mm jack in a matter of months.
",1,0
7549,"The headphones have been sparingly used for just over 2 months and have given way from the cord splitter (part where the headphones split into two parts). Reflects very poor quality and possibly a defective piece. Need to get it replaced/repaired under Warranty (2 years warranty on the product).
",1,0
1951,"I purchased for 1100 on offer the product was absolutely worth it .very good on that price .Amazon delivery service was worst
",1,0
7413,"This is a below average product from Senheiser. Expected more from them. Totally let down. If you enjoy good sound quality sound- DO NOT BUY this product. You’re better off with a (can’t believe I’m actually saying this) BOAT earphones. Even they have a more balanced sound profile than the CX.This was bad. Really bad. Expectations were let down. Days were made to crap.Don’t buy this.
",1,0
7395,"I have bought the earphone and faced issue of mirophone. Even after replacing the earphone facing the same issue. It looks like this is default problem in all the headsets maybe manufacturing defect. Please provide feedback to company. There is a delay in changing tracks using microphone button. Also; the earphones do not work while answering the calls for the first time. It works while answering the call second time.
",1,0
1959,"Noise cancellation is good; but in 2 months earphones stopped working and now it is useless; after paying so much if we can't use it more than 2 months then it is waste of money
",1,0
1960,"After about a week of using it; the volume keys stopped working; the earphone volume is suddenly reduced to zero while playing music. Also; it disconnects itself out of nowhere.
",1,0
7368,"Initially the sound quality and voice quality were great.  But within 6 months one of the speakers stopped working.  And amazon doesn't give 1 year warranty;  the brand does.  So;  have to visit customer care of Sennheiser.  Makes you think to buy such products offline rather than online.
",1,0
7362,"I bought two earphones one with mic one with out mic on 27march19 ; it's not even 2 months properly the left earphone doesn't work for one The other one is not working properly either ;  There is a loose connection with the wiring ; one doesn't work at all all the other I have to keep adjusting the wire it's so annoying .never expected this from a brand like Sennheiser ; very disappointed
",1,0
7354,"I got this product in Feb and the sound quality has gone terrible in just half a month. It's not worth at allllll. The earphones that I got in a local store for 150 bucks worked for an year  at least. When I thought of returning it says not eligible and even though there is a warranty of 2 years and a toll free number given; its of NO USE. The toll free number doesn't even exit. Awesome Trap ... KEEP IT UP Guys..... I wish there was a half star option in the review.
",1,0
1965,"The worst product sold my Amazon I had got replaced this product 2 times but still worst performance don't even of buying this product ever for your own good.
",1,0
1967,"Worst than local 100 rupees headphones!!
",1,0
7343,"I don't know why this product got that much good reviews; i listen for 1 or 2 hours with all the kind of sounds and finally i got to know that at this cost we can get 2 earphones with better sound. This earphone has very bad sound quality like some local product that we can get in trains of cost 50 to 100 rs only.  I really disappointed with this product.I was using sony c300 bluetooth earphone; if someone want to listen good sound just try that and compare; you will got to know.
",1,0
7315,"I like to think of myself as an audiophile; and trust me I have tried numerous earphones; but by far these are my worst pick.The audio quality is Terrible; it's super flat. As much as you are tempted to buy them; DON'T!Even audio technical clr100 & JBL c150 si sounds mcuh better than these.I  extremely Regret buying these
",1,0
7311,"I purchased this earphone a few days back and firstly the product that was delivered to me was defective.I replaced the same and it was delivered to me the next day itself.However the replacement is now not working properly and mic is also not responding.I feel cheated twice after such an experience.Will have to consider whether to shop again from Amazon.
",1,0
1973,"In A month the sound start breaking. I tried to contact customer care number which provided in Amazon only and that number is not reachable.  Dont know what to do now?
",1,0
7304,"I am looking for a replacement of the product; within six /6 months; a piece broke of the mouth where you attach it to the phone & stayed stuck inside it so that I couldn't put or use any other earpiece even in place of your Seinheiser one for long time till I could take it to a repair hub where they removed it; but as it is broken; can't use it anymore; how is this possible that a high-end claimed to be high quality earpiece costing about 1500 bucks breaks within few months? Please arrange for a replacement ASAP immediately without fail from the company's side.
",1,0
7302,"Regularly normal pop music plays good. Without any enhancements.But; while playing done instrumental; and old Rock; some guitar solos only sound from left side; and other vocals from right; takes a little bit of time till it gets equalised. & whatever I do it won't get fixed.Wire quality is very flimsy; might break any moment.Worthless for ₹1400Not at all recommended.
",1,0
1976,"Received earphones instead of Bluetooth headset; even the box is crumbled. Requesting for replacement.
",1,0
7428,"Good pair of headphones. If you want something that work for a whole year; go ahead and buy these. If you're looking for something that lasts a but longer; look elsewhere.They sound great for the one year that they're going to last for. I had bought 2 of these. One for me and one for my girlfriend. Both of them went bad in a year.
",1,0
7433,"What can I tell about the product.I initially ordered the product and got it replace because it was not working properly.Later I ordered it again assuming that I will receive a good quality product. However post month the new earphone that I received stopped functioning.I had to visit the Service center and get it replaced.Not expected such type of product from Amazon
",1,0
7438,"It didn't last even for 2 month. I was very disappointed with the product as it stopped working suddenly despite good maintenance. I  always use Sennheiser's headphones. I think the product that I received is a duplicate one
",1,0
1947,"1 earpiece is not working in just 2 months !!!!!!Don't buy
",1,0
7528,"Very bad experience with a brand like senheiser. I always loved the earphones from this brand. This is my third earphones from the same brand.I believe I have been given a copy product by the seller. It has stopped working in less than a month.
",1,0
1927,"The quality is not good. After few days of using sound stopped coming from one speaker. After viewing closely; i found the wire got out of one connection. Definitely POOR quality.
",1,0
1928,"I want to return  but I am not able to make return. I am returning as mic is very poor.
",1,0
7525,"I used too many earphones but this is worst for money and even i gone to doctor for my ear checkup. Because swelling in my ear and its Pain so Much. As my openion Dont Buy this Seenheiser earphone. Its Soo Bad qaulity.Seenheiser company is Good Is also used it but this cx215 is Worst and Garbage. So my opinion dont Buy it.
",1,0
1930,"The design is not great. The wires for the ear plugs are very very long and strat at the very end of the neckband. Battery life is ok.
",1,0
7523,"Poor sound quality; poor durability; poor delivery  services and poor material quality also. Price of this item is very high as compare to other earphones with Mic
",1,0
7520,"Disgraceful; my family is buying the seinheiser’s earplugs since last 5years; it always been a more than satifaction experience with the product; but this is the degradation of its product (275s)..Never expected that seinheiser will compromise its quality.. BOAT earphone option might have been a better one..  :/
",1,0
7519,"Sound and bass are everything goods ; but this is failure model ; after 6 month's the product is damaged ; the earphones are not working ( i.e jack ) ;then service center replaced my item without any issues .Finally music wise sounds good ; but hardly it is 6 month's only work. Bette to go for one more model in senheiser
",1,0
1920,"While playing songs it's pitching and unable to hear the Audio properly maybe i got an defective piece.
",1,0
7503,"Very disappointed sound quality not good no bass it hurts when u turn on the volume on full.. very poor performance. I was previously using Sennheiser CX 180 Street II In-Ear Headphone (Black); without Mic. They are much much better than these headphones.. this not they way put a mic in Ur headphone increase the price and lowers the quality
",1,0
7493,"Not as expected; definitely not the genuine product. Mic is very cheap quality not recommended at all specially with this price u can find 10 times better product
",1,0
1938,"The sound quality of the earphone is not good. Its 1 month only and the 1 side of the earphone is low than the other side.Really disappointed with boat and Amazon.
",1,0
1939,"It's output is intermittent. Not able to hear my favorite songs. Interested to return it.
",1,0
7478,"I received the product & using it but after 6 month it started giving problem like mic is not working. I am facing lot of issues with it now.So would like to request you for replacement of the same. Could you please help me with that ?That will be really appreciated...!!!Regards;Amol Pawar9011480280
",1,0
7476,"We buy headphone or earphone for the true experience of music without noise; but this headphone already has noise or ""disturbance"" and it doesn't support FM radio in Android smartphone and tablets. I brought it after watching some videos on youtube and all of them recommended it ""like technical guruji"". Chap it's your hard earned money don't waste it on this worst product. Go by brands
",1,0
7463,"Guys; If you are planning to buy thisPlease don't I have brought this with my one plus6 3 months ago and the product quality is the worst that I have ever seen!!!Its a huge wastage of moneyDon't ever go for theseI'm really disappointed.
",1,0
7446,"CX 180 is far better than CX 275s. First of all CX 275 is not fit well in ear and Mic quality is also very poor for which Amazon charging  at list Rs. 900 Extra. You can buy twice CX 180 in the price of CX 275 and also save some money. CX275 has very thin wire that sound very cheap. I recommend not to Buy CX275s.
",1,0
7444,"I thought the 'senheiser' name was enough but utterly disappointed afer using it. I don't know if i received a used product or what but the music quality was extremely poor. My apple earbuds; even my moto earphones are far more better. Never gonna trust a brand again without using it first.
",1,0
7498,"Very poor quality sound that becomes harsh with slight increase in volume. Total waste of money. Mi headphone worth 599 is much better.
",1,0
7914,"Sound quality is good but durability and material quality cheap... It just 4 month... And headphone stop working.
",1,0
6960,"This  is a worstest product I have ever seen..Blue tooth connectivity button is not working.....
",1,0
6955,"Bad quality
",1,0
6520,"Very uncortable to use
",1,0
6519,"Not original product delevered
",1,0
6518,"Stopped working after 2 months
",1,0
6517,"Bluetooth connectivity is poor
",1,0
6516,"don't buy worst experiences dublicute prodeuct
",1,0
6515,"Sounds quality is not goodNo bass at all
",1,0
6511,"I cannot claim the warranty
",1,0
6507,"Very less sound quality and bass
",1,0
6501,"It got spoiled in 3 months. Not so great quality.
",1,0
6494,"I can head sound only in one ear.. it is defective
",1,0
6492,"In between 5 months sound quality is getting worst
",1,0
6483,"Sound quality is not good... please return my money
",1,0
6470,"Expected nic one but it was very experience with JBL
",1,0
6469,"Waste product; within 25 days it's work not properly
",1,0
6465,"Worst product one side stopped working in just 15 days
",1,0
6463,"It is already not working now
",1,0
6462,"Nit recommended fake products
",1,0
6523,"Ear buds very hard.. Too much painful
",1,0
2217,"Within one week i had problem with swet entry and chottering noise issue. Now i cant replace.
",1,0
2216,"its a good product. But question on durability. For me it just work for not even 40days. Its show blue colour blink as if the battery is full but its not turning on.
",1,0
6531,"Ear buds are hard gives pain
",1,0
6606,"It’s totally Uncomfortable
",1,0
2191,"I have purchased it and after 3 months it stopped working  properly. U have raised a complaint to Boat service centre but the are not replying. DONT BUY THIS PRODUCT.
",1,0
6600,"Bad product
",1,0
6590,"Prob on Nake Due To more flexibility
",1,0
6588,"Speaker damage after 10 days
",1,0
2196,"Product is good for melodious songs and other music but for base songs or for a high beat songs this one is not preferable
",1,0
6582,"Worst sound ..not able to put in ears
",1,0
6578,"Sound very low one side very diatribe
",1,0
2243,"I recently purchased this product. Started using it and its battery gets totally down in  4-5 hrs only. I can not able to listen songs more than half day. not worth
",1,0
6572,"Worst product; not more than of Rs.150
",1,0
6557,"This product is not good
",1,0
6556,"Cheap material and sound quality
",1,0
2206,"not happy.. got used n old headphone
",1,0
6552,"Battery life is less than 2 hours
",1,0
6548,"Worst I want my money back
",1,0
6536,"Low voice.... Video and sounds not matching
",1,0
2213,"Everything is good.battery was working good at starting stage  but after using 20 days it is not even working 30 minutes. So bad quality product from Boat
",1,0
6534,"Any service centre’s in Bangalore ?
",1,0
6564,"This is not working now
",1,0
6620,"Recieved wrong product..
",1,0
6458,"DUPLICATE JBL BRAND IS SALE BY AMAZON
",1,0
6444,"Earphone has stopped working just after 20 days
",1,0
6346,"Not up to the expectations at this price.
",1,0
6343,"Not comfortable for ears.Not recommendedBad noise cancelation
",1,0
6342,"battery life is good but sound is not good and in ear is not good fiting
",1,0
6339,"When connecting call facing noise issueI want to be replace the unit
",1,0
6338,"It is not good
",1,0
6335,"Thw stopped working within 10 days of purchase. It won't start or power on.
",1,0
6334,"Doesn't stay put; the wire is too long and hence poses a problem while running.
",1,0
